No.,Time,Source,Destination,Protocol,Length,Info,,,Time 1,Time 2,,Delay 
11,3.860616,MargaGibran-PC,us-browser-notifications.opera.com,TCP,66,49326  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,3.860616,3.917632,,0.057016
12,3.917632,us-browser-notifications.opera.com,MargaGibran-PC,TCP,66,"https(443)  >  49326 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1400 WS=32 SACK_PERM=1",,,3.917632,3.91776,,0.000128
13,3.91776,MargaGibran-PC,us-browser-notifications.opera.com,TCP,54,49326  >  https(443) [ACK] Seq=1 Ack=1 Win=65792 Len=0,,,3.91776,4.011607,,0.093847
14,4.011607,MargaGibran-PC,us-browser-notifications.opera.com,TLSv1.2,236,Client Hello,,,4.011607,4.057111,,0.045504
17,4.057111,us-browser-notifications.opera.com,MargaGibran-PC,TCP,54,https(443)  >  49326 [ACK] Seq=1 Ack=183 Win=22560 Len=0,,,4.057111,4.152378,,0.095267
25,4.152378,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,66,49327  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,4.152378,4.152803,,0.000425
26,4.152803,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,66,49328  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,4.152803,4.153189,,0.000386
27,4.153189,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,66,49329  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,4.153189,4.153606,,0.000417
28,4.153606,MargaGibran-PC,google.com,TCP,66,49330  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,4.153606,4.251297,,0.097691
29,4.251297,google.com,MargaGibran-PC,TCP,66,"https(443)  >  49330 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1400 WS=32 SACK_PERM=1",,,4.251297,4.25136,,6.3E-05
30,4.25136,MargaGibran-PC,google.com,TCP,54,49330  >  https(443) [ACK] Seq=1 Ack=1 Win=65792 Len=0,,,4.25136,4.251504,,0.000144
31,4.251504,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,66,"https(443)  >  49327 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1400 WS=32 SACK_PERM=1",,,4.251504,4.251504,,0
32,4.251504,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,66,"https(443)  >  49328 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1400 WS=32 SACK_PERM=1",,,4.251504,4.251534,,3E-05
33,4.251534,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,49327  >  https(443) [ACK] Seq=1 Ack=1 Win=65792 Len=0,,,4.251534,4.251555,,2.1E-05
34,4.251555,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,49328  >  https(443) [ACK] Seq=1 Ack=1 Win=65792 Len=0,,,4.251555,4.252036,,0.000481
35,4.252036,MargaGibran-PC,google.com,TLSv1.3,571,Client Hello,,,4.252036,4.25233,,0.000294
36,4.25233,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,571,Client Hello,,,4.25233,4.252604,,0.000274
37,4.252604,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,571,Client Hello,,,4.252604,4.269404,,0.0168
38,4.269404,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,66,"https(443)  >  49329 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1400 WS=32 SACK_PERM=1",,,4.269404,4.269453,,4.9E-05
39,4.269453,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TCP,54,49329  >  https(443) [ACK] Seq=1 Ack=1 Win=65792 Len=0,,,4.269453,4.26983,,0.000377
40,4.26983,MargaGibran-PC,beacons-handoff.gcp.gvt2.com,TLSv1.3,571,Client Hello,,,4.26983,4.305697,,0.035867
41,4.305697,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49327 [ACK] Seq=1 Ack=518 Win=22912 Len=0,,,4.305697,4.307113,,0.001416
42,4.307113,google.com,MargaGibran-PC,TCP,54,https(443)  >  49330 [ACK] Seq=1 Ack=518 Win=22912 Len=0,,,4.307113,4.307321,,0.000208
43,4.307321,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49328 [ACK] Seq=1 Ack=518 Win=22912 Len=0,,,4.307321,4.313684,,0.006363
44,4.313684,beacons-handoff.gcp.gvt2.com,MargaGibran-PC,TCP,54,https(443)  >  49329 [ACK] Seq=1 Ack=518 Win=22912 Len=0,,,4.313684,4.329778,,0.016094
